a_name,title,tempo,energy,danceability,loudness,valence,acousticness,Mood
Melissa Etheridge,Watching You,124.84,0.129,0.399,-19.912,0.0923,0.363,Angry
PJ Harvey,Who The Fuck? ,123.553,0.795,0.536,-7.697,0.622,0.1,Angry
Ms. Jade,Why U Tell Me That,82.99,0.753,0.632,-5.884,0.814,0.504,Angry
Marianne Faithfull,Working Class Hero,109.738,0.145,0.567,-18.757,0.158,0.0485,Angry
Nine Inch Nails,You Know What You Are?,160.046,0.974,0.514,-5.686,0.359,0.0177,Angry
PJ Harvey,Yuri-G,141.835,0.514,0.548,-17.262,0.961,0.00218,Angry
Courtney Love,Zeplin Song,177.623,0.972,0.439,-3.819,0.434,0.000289,Angry
Counting Crows,Accidentally In Love,137.939,0.923,0.554,-3.548,0.808,0.0511,Happy
Lionel Richie,All Night Long (All Night),108.837,0.576,0.736,-12,0.755,0.149,Happy
Dune,Are You Ready To Fly ,164,0.758,0.51,-10.303,0.155,0.0867,Happy
Dead Disco,Automatic ,144.978,0.835,0.453,-6.348,0.429,0.000938,Happy
Blue,Back Some Day,165.026,0.724,0.511,-4.856,0.438,0.113,Happy
The Boy Least Likely To,Be Gentle With Me,108.11,0.838,0.729,-5.729,0.687,0.0194,Happy
Mary J. Blige,Be Happy,92.918,0.715,0.674,-8.525,0.669,0.148,Happy
Blur,Beetlebum,89.571,0.648,0.487,-5.14,0.703,0.0351,Happy
Elvis Costello,Beyond Belief,184.312,0.728,0.291,-9.218,0.685,0.0614,Happy
MIKA,Big Girl (You Are Beautiful),115.99,0.782,0.802,-6.206,0.831,0.0425,Happy
Kelis,Bossy,84.009,0.624,0.906,-5.556,0.775,0.000185,Happy
Amos Lee,Bottom Of the Barrel,178.13,0.346,0.611,-12.689,0.539,0.784,Happy
Bright Eyes,Bowl Of Oranges,105.797,0.584,0.332,-11.369,0.0963,0.329,Happy
Tindersticks,Buried Bones,117.681,0.409,0.537,-12.891,0.489,0.544,Happy
Robbie Nevil,C'est La Vie,102.108,0.798,0.729,-12.868,0.565,0.533,Happy
The Bees,Chicken Payback,142.025,0.968,0.534,-3.093,0.943,0.0906,Happy
David Bowie,Chilly Down,145.368,0.848,0.684,-7.387,0.663,0.0421,Happy
Coldplay,Clocks,130.969,0.749,0.577,-7.215,0.261,0.599,Happy
The Fratellis,Creepin Up The Backstairs,122.375,0.963,0.59,-3.911,0.294,0.000265,Happy
Jump5,Do Ya,104.045,0.923,0.547,-3.085,0.693,0.0243,Happy
Bobby McFerrin,Don't Worry Be Happy,68.837,0.166,0.675,-22.602,0.747,0.88,Happy
The Juliana Theory,Duane Joseph,165.89,0.6,0.42,-8.166,0.381,0.00214,Happy
Julian Cope,East Easy Rider,92.367,0.84,0.686,-9.392,0.852,0.112,Happy
30 Seconds To Mars,Edge Of The Earth,110.088,0.921,0.522,-4.717,0.241,0.000105,Happy
Scooter,Endless Summer,162.016,0.993,0.454,-4.424,0.151,0.00267,Happy
eleventyseven,Evil Genius,140,0.866,0.516,-4.271,0.664,0.00608,Happy
Dune,Expedicion,169.032,0.751,0.507,-13.438,0.0351,0.00478,Happy
Scooter,Fasterharderscooter,145.01,0.93,0.531,-8.181,0.247,0.0000658,Happy
Blue,Fly By,95.237,0.766,0.761,-4.12,0.77,0.16,Happy
Scooter,Friends,176.054,0.896,0.402,-7.874,0.232,0.000192,Happy
Freelance Whales,Generator ^ Second Floor,139.002,0.67,0.621,-6.358,0.478,0.0172,Happy
Dragonette,Get Lucky,150.027,0.28,0.673,-19.798,0.807,0.372,Happy
Cut Copy,Going Nowhere,124.868,0.876,0.614,-6.474,0.414,0.108,Happy
Greg Street,Good Day,94.003,0.678,0.896,-4.189,0.865,0.574,Happy
MIKA,Grace Kelly,122.287,0.847,0.678,-5.825,0.601,0.0219,Happy
Sondre Lerche,Happy Birthday Girl,88.969,0.678,0.27,-4.292,0.0937,0.0189,Happy
MIKA,Happy Ending,96.032,0.453,0.553,-8.164,0.396,0.554,Happy
Otis Redding,The Happy Song,99.787,0.394,0.733,-9.867,0.792,0.249,Happy
Dune,Hardcore Vibes,163.883,0.631,0.578,-11.93,0.484,0.0156,Happy
Amy Grant,Hats,138.856,0.8,0.699,-4.153,0.834,0.0265,Happy
Lisa Stansfield,He Touches Me,102.957,0.626,0.658,-7.308,0.53,0.501,Happy
Bryan Adams,Here I Am(Spirit: Stallion Of,98.989,0.772,0.587,-7.118,0.165,0.0104,Happy
Owl City,Hot Air Balloon,99.992,0.809,0.622,-5.806,0.73,0.145,Happy
The Boy Least Likely To,Hugging My Grudge,105.034,0.652,0.606,-7.757,0.776,0.0099,Happy
Axwell ,I Found U ,129.978,0.962,0.669,-6.972,0.227,0.0683,Happy
The Go Betweens,I Just Get Caught Out ,154.394,0.759,0.321,-9.712,0.443,0.421,Happy
Jeremy Camp,I Surrender To You,76.031,0.764,0.466,-4.753,0.343,0.0163,Happy
Ozma,In Search Of 1988,90.201,0.879,0.216,-6.794,0.227,0.000623,Happy
Crowded house,In The Lowlands,136.532,0.637,0.437,-12.047,0.586,0.0222,Happy
Weezer,Island In The Sun,114.647,0.778,0.646,-6.222,0.782,0.0108,Happy
Amy Grant,Keep It On Going,132.265,0.503,0.768,-7.663,0.986,0.16,Happy
Gin Blossoms,Keli Richards,146.726,0.938,0.448,-4.761,0.685,0.000929,Happy
Weezer,Knockdown Dragout,138.653,0.927,0.389,-4.166,0.445,0.0001,Happy
The Go! Team,LadyFlash,115.406,0.959,0.562,-5.288,0.711,0.000278,Happy
Scooter,Let Me Be Your Valentine,169.937,0.991,0.431,-4.489,0.219,0.000277,Happy
MIKA,Lollipop,95.994,0.596,0.712,-5.31,0.879,0.0302,Happy
Blue,Long Time,141.175,0.666,0.595,-3.903,0.389,0.0761,Happy
Dune,Lost In Space,170.604,0.555,0.592,-11.649,0.215,0.0944,Happy
MIKA,Love Today,124.473,0.908,0.671,-4.855,0.631,0.0252,Happy
The Cat Empire,Lullaby,105.897,0.7,0.621,-8.196,0.558,0.0477,Happy
David Bowie,Magic Dance,105.936,0.839,0.731,-6.185,0.716,0.0202,Happy
Blue,Make It Happen,110.019,0.752,0.783,-4.384,0.923,0.107,Happy
Drake Bell,Makes Me Happy,159.914,0.842,0.454,-5.68,0.632,0.0108,Happy
The Chemical Brothers,Marvo Ging,111.981,0.989,0.536,-4.229,0.225,0.000957,Happy
Rancid,Memphis,178.151,0.967,0.445,-2.222,0.513,0.00364,Happy
Dune,Million Miles From Home,170.674,0.885,0.5,-10.834,0.0378,0.00832,Happy
Kings Of Convenience,Misread,160.748,0.625,0.637,-9.783,0.896,0.734,Happy
Sophie Ellis-Bextor,Mixed Up World,114.055,0.851,0.636,-4.372,0.91,0.000457,Happy
Scooter,Move Your Ass!,160.921,0.981,0.508,-4.151,0.186,0.00133,Happy
The Vandals,My Brain Tells My Body,175.834,0.979,0.301,-2.461,0.764,0.000386,Happy
Cab Calloway & His Orchestra,Nobody's Sweetheart,104.635,0.591,0.809,-10.865,0.875,0.926,Happy
Siouxsie And The Banshees,O Baby,106.866,0.892,0.531,-7.539,0.694,0.0838,Happy
Scooter,One ,143.979,0.998,0.465,-3.526,0.755,0.000197,Happy
The Spill Canvas,One Thing Is For Sure,140.003,0.869,0.559,-3.931,0.624,0.00718,Happy
Nat King Cole,Orange Colored Sky,128.547,0.24,0.535,-15.198,0.49,0.92,Happy
Scooter,Our Happy Hardcore,165.993,0.936,0.466,-8.3,0.308,0.00221,Happy
Wiz Khalifa,Pittsburgh Sound,86.456,0.773,0.74,-5.204,0.731,0.104,Happy
Andrew Bird,Plasticities,146.838,0.497,0.61,-10.931,0.678,0.463,Happy
Dune,Rainbow To The Stars,180.711,0.862,0.425,-11.661,0.039,0.00943,Happy
Scooter,Rebel Yell,175.018,0.983,0.482,-5.392,0.519,0.000811,Happy
MIKA,"Relax, Take It Easy",121.997,0.658,0.685,-7.315,0.77,0.0639,Happy
Little River Band,Reminiscing,94.731,0.465,0.54,-11.259,0.341,0.652,Happy
MIKA,Ring Ring,129.362,0.681,0.558,-7.028,0.292,0.00657,Happy
Darren Styles,Save Me,150.103,0.643,0.431,-2.857,0.359,0.178,Happy
Sugarcult,Saying Goodbye,111.034,0.939,0.555,-5.854,0.658,0.000443,Happy
Snoop Dogg,Signs,112.965,0.701,0.933,-5.603,0.612,0.0374,Happy
Weezer,Simple Pages,204.969,0.899,0.199,-4.181,0.426,0.000168,Happy
Moloko,Sing It Back (Mousse T's Feel,129.042,0.943,0.798,-4.898,0.759,0.00529,Happy
Fountains Of Wayne,Stacy's Mom,118.015,0.75,0.774,-4.927,0.925,0.0021,Happy
David Crowder Band,Stars,120.042,0.326,0.59,-9.533,0.194,0.701,Happy
Owl City,Strawberry Avalanche,117.002,0.838,0.578,-6.085,0.392,0.0133,Happy
KT Tunstall,Suddenly I See,100.455,0.764,0.582,-5.719,0.653,0.233,Happy
Scissor Sisters,Take Your Mama,153.96,0.954,0.762,-4.542,0.933,0.22,Happy
Elvis Costello,Temptation,145.608,0.526,0.6,-8.148,0.883,0.0216,Happy
Acid House Kings,That's Because You Drive Me,89.659,0.508,0.445,-10.585,0.559,0.45,Happy
The Boy Least Likely To,The Battle Of The Boy Least Likely to,172.07,0.188,0.369,-17.02,0.146,0.411,Happy
Elvis Costello,The Imposter,185.211,0.906,0.482,-6.648,0.963,0.000139,Happy
Alisha's Attic,The Incidentals,82.625,0.555,0.521,-7.358,0.653,0.217,Happy
The Pogues ,The Irish Rover,140.587,0.95,0.568,-5.405,0.966,0.502,Happy
The New Pornographers,The Laws Have Changed,141.948,0.919,0.532,-3.139,0.688,0.00344,Happy
30 Seconds To Mars,The Story,176.691,0.671,0.347,-7.293,0.403,0.185,Happy
Turin Brakes,Timewaster,136.226,0.934,0.473,-4.298,0.497,0.0181,Happy
I'm From Barcelona,Treehouse,145.071,0.786,0.464,-5.669,0.698,0.0132,Happy
The Cloud Room,We Sleep In The Ocean,123.765,0.655,0.629,-7.685,0.176,0.511,Happy
I'm From Barcelona,We're From Barcelona,119.923,0.93,0.59,-4.259,0.954,0.0984,Happy
Bedouin Soundclash,When The Night Feels My Song,109.2,0.523,0.938,-8.582,0.724,0.255,Happy
Gloriana,Wild At Heart,97.998,0.859,0.583,-4.009,0.772,0.0183,Happy
Gogol Bordello,Wonderlust King,134.963,0.891,0.57,-4.521,0.608,0.0153,Happy
Deee-Lite,World Clique,119.907,0.627,0.706,-15.463,0.836,0.014,Happy
Jaymay,You Are The Only One I Love,77.429,0.299,0.477,-12.524,0.173,0.904,Happy
Smashing Pumpkins,1979,126.879,0.788,0.765,-9.896,0.964,0.0166,Relax
Bob Marley & The Wailers,Africa Unite,127.526,0.435,0.904,-10.043,0.756,0.196,Relax
Radiohead,Airbag,167.946,0.872,0.306,-7.313,0.648,0.00792,Relax
Radiohead,All I Need,88.005,0.477,0.668,-8.709,0.0966,0.517,Relax
Sick Puppies,All The Same,177.592,0.76,0.311,-6.301,0.189,0.000962,Relax
Linda Eder,All The Way,96.025,0.125,0.2,-14.866,0.0802,0.944,Relax
Above & Beyond,Alone Tonight,137.937,0.53,0.345,-9.978,0.276,0.602,Relax
Coldplay,Amsterdam,73.076,0.176,0.262,-10.463,0.105,0.836,Relax
Motorcycle,As The Rush Comes (Radio Edit),135.01,0.817,0.614,-7.527,0.644,0.058,Relax
Ferry Corsten,Beautiful (Extended),134.998,0.753,0.533,-9.243,0.766,0.000441,Relax
Owen,Bed Abuse ,118.026,0.53,0.548,-14.16,0.277,0.0621,Relax
Cold,Black Sunday,98.038,0.845,0.229,-5.482,0.199,0.00458,Relax
Corinne Bailey Rae,Breathless,175.372,0.483,0.318,-7.981,0.264,0.349,Relax
Armin Van Buuren ,Burned With Desire ,137.953,0.916,0.487,-7.986,0.429,0.000638,Relax
Norah Jones,Carnival Town,86.102,0.0361,0.594,-16.062,0.186,0.987,Relax
Chris Lake ,Changes,126.964,0.936,0.55,-5.101,0.475,0.000403,Relax
Air,Cherry Blossom Girl,75.012,0.76,0.436,-7.906,0.504,0.362,Relax
Coldplay,Clocks,130.969,0.749,0.577,-7.215,0.261,0.599,Relax
ATB,Collides With Beauty,136.988,0.896,0.595,-6.789,0.797,0.0418,Relax
Jack Johnson,Constellations,122.025,0.299,0.719,-12.465,0.446,0.47,Relax
Blonde Redhead,Doll Is Mine,153.587,0.508,0.524,-8.412,0.362,0.0336,Relax
Madeleine Peyroux,Don't Cry Baby,105.603,0.337,0.635,-10.088,0.258,0.89,Relax
Coldplay,Don't Panic,122.062,0.612,0.602,-8.409,0.453,0.206,Relax
Secret Garden,Dreamcatcher,73.517,0.158,0.185,-19.246,0.0713,0.923,Relax
Sinead O'Connor,Drink Before The War,123.936,0.265,0.508,-12.254,0.0973,0.537,Relax
Armin Van Buuren ,Empty State,135.994,0.824,0.515,-11.786,0.235,0.0000369,Relax
ATB,Feel Alive (Alternative Radio,132.028,0.85,0.504,-6.028,0.543,0.00493,Relax
Joe Cocker,Feelin' Alright,90.095,0.836,0.538,-10.031,0.874,0.674,Relax
Owen,Gazebo,127.901,0.424,0.57,-11.918,0.343,0.143,Relax
Sinead O'Connor,Gloomy Sunday,124.25,0.156,0.294,-17.397,0.092,0.896,Relax
Goldfrapp,Hairy Trees,104.195,0.487,0.52,-11.72,0.0831,0.362,Relax
Plain White Ts,Hey There Delilah,104.063,0.293,0.651,-10.575,0.313,0.886,Relax
The Chemical Brothers,Hold Tight London,132.975,0.761,0.705,-6.85,0.826,0.194,Relax
The Go! Team,Hold Yr Terror Close,124.854,0.393,0.308,-10.841,0.764,0.924,Relax
Gorillaz,Hong Kong,148.128,0.582,0.513,-7.394,0.241,0.712,Relax
Akon,I Wanna Love You,99.98,0.46,0.866,-9.252,0.29,0.0442,Relax
Luka Bloom,I'll Walk Beside You,111.66,0.114,0.326,-16.176,0.319,0.931,Relax
JS,Ice Cream,123.004,0.62,0.804,-6.35,0.661,0.208,Relax
Coldplay,In My Place,144.642,0.587,0.425,-5.453,0.194,0.0565,Relax
The Exies,Inertia,110.415,0.763,0.498,-5.379,0.335,0.104,Relax
Jimmy Eat World,Just Watch The Fireworks,120.327,0.69,0.657,-8.154,0.196,0.00335,Relax
Corinne Bailey Rae,Like A Star,122.713,0.226,0.605,-10.617,0.142,0.715,Relax
Embrace,Looking As You Are,145.689,0.41,0.295,-9.037,0.252,0.22,Relax
Seabear,Lost Watch,163.078,0.234,0.271,-11.641,0.12,0.888,Relax
Roger Sanchez,Lost,127.983,0.747,0.707,-7.203,0.566,0.0194,Relax
Sinead O'Connor,Love Letters,107.799,0.236,0.305,-11.562,0.241,0.665,Relax
Babyshambles,Love You But You're Green,87.12,0.495,0.523,-6.654,0.401,0.366,Relax
The Spill Canvas,Lullaby,119.683,0.399,0.561,-6.678,0.236,0.241,Relax
Room 5 ,Make Luv ,124.845,0.785,0.869,-9.005,0.743,0.00714,Relax
Yeah Yeah Yeahs,Man,188.421,0.975,0.229,-2.575,0.0978,0.0276,Relax
DJ Shadow,Mutual Slump,98.018,0.829,0.5,-6.275,0.359,0.596,Relax
Jimmy Eat World,My Sundown,96.196,0.433,0.539,-12.246,0.141,0.147,Relax
Massive Attack,Name Taken,160.038,0.676,0.496,-11.236,0.0395,0.0928,Relax
Cosmic Gate ,Not Enough Time,131.951,0.568,0.624,-9.358,0.277,0.00387,Relax
Calexico,Not Even Stevie Nicks,132.174,0.394,0.522,-8.761,0.188,0.881,Relax
Room Eleven,One Of These Days,102.911,0.493,0.683,-9.557,0.704,0.428,Relax
Matt Bianco,Ordinary Day,79.981,0.511,0.73,-10.709,0.701,0.766,Relax
Anberlin,Paperthin Hymn,180.434,0.597,0.298,-12.107,0.536,0.00111,Relax
The Last Goodnight,Pictures Of You,207.673,0.816,0.325,-3.714,0.579,0.165,Relax
Jimmy Eat World,Polaris,111.009,0.945,0.523,-5.642,0.339,0.000183,Relax
Enigma,Return To Innocence,88.026,0.584,0.476,-12.357,0.417,0.119,Relax
Erasure,Say What,190.986,0.538,0.599,-12.326,0.877,0.0536,Relax
Smashing Pumpkins,"Soma (Live In London, 1994)",130.382,0.404,0.307,-10.379,0.195,0.0656,Relax
The Starting Line,Something Left To Give,103.982,0.709,0.444,-5.518,0.351,0.0474,Relax
A Balladeer,Swim With Sam,118.998,0.667,0.629,-7.434,0.612,0.0741,Relax
Kaiser Chiefs,Team Mate,108.123,0.58,0.559,-8.596,0.206,0.00208,Relax
Smog,Teenage Spaceship,141.814,0.0665,0.47,-22.287,0.214,0.608,Relax
Everything But The Girl,Temperamental,123.971,0.76,0.764,-9.352,0.938,0.0485,Relax
Frankie Goes To Hollywood,The Power of Love,122.913,0.164,0.466,-17.17,0.101,0.364,Relax
Norah Jones,Those Sweet Words,103.152,0.234,0.798,-10.699,0.403,0.875,Relax
Keane,To The End Of The Earth,119.981,0.689,0.503,-7.01,0.337,0.0123,Relax
The Jam,Town Called Malice,101.798,0.917,0.553,-8.806,0.781,0.00265,Relax
Massive Attack,Unfinished Sympathy,114.436,0.835,0.592,-8.475,0.703,0.0393,Relax
Dash Berlin,Waiting,135.986,0.847,0.519,-6.716,0.169,0.052,Relax
Ben Harper,Walk Away,140.427,0.0954,0.712,-15.896,0.393,0.875,Relax
Coldplay,We Never Change,136.924,0.286,0.434,-10.803,0.122,0.533,Relax
Seventh Day Slumber,When The Children Cry,137.928,0.605,0.536,-6.231,0.156,0.129,Relax
Venus In Flames,Whole New Me,122.979,0.137,0.424,-15.58,0.288,0.909,Relax
Connie Francis,You're Gonna Miss Me,190.714,0.285,0.326,-9.377,0.455,0.841,Relax
Mnemic,Zero Gravity,89.994,0.728,0.387,-10.639,0.112,0.000178,Relax
The Clientele,(I Can't Seem To) Make You Mine,171.2,0.388,0.31,-11.306,0.358,0.391,Sad
D'Angelo,Africa,84.427,0.333,0.518,-10.31,0.349,0.628,Sad
A Fine Frenzy,Almost Lover,119.58,0.24,0.549,-7.778,0.167,0.947,Sad
Beck,Already Dead,115.103,0.399,0.658,-10.207,0.339,0.165,Sad
Ron Sexsmith,And Now The Day Is Done,93.144,0.157,0.539,-10.952,0.492,0.934,Sad
Antony & The Johnsons,Another World,106.697,0.0387,0.32,-20.616,0.229,0.971,Sad
The Cure,Apart,82.102,0.433,0.546,-15.933,0.511,0.422,Sad
Papa Roach,Binge,93.601,0.925,0.469,-4.191,0.373,0.00000493,Sad
Roxy Music,Bitter Sweet,117.792,0.425,0.51,-9.219,0.13,0.255,Sad
